,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,coder1,coder2,coder1notes,coder2notes
0,Aerodyne Research,"Aerodyne Research?with partners from Stony Brook University, Precision Combustion, Inc., and C-K Engineering, Inc. will design and build a CHP generator based on a small single-cylinder, two-stroke free-piston internal combustion engine. Similar to an automotive internal combustion engine, the proposed system follows the same process: the combustion of natural gas fuel creates a force that moves a piston, transferring chemical energy to mechanical energy used in conjunction with a linear alternator to create electricity. The free-piston configuration used here, instead of a traditional slider-crank mechanism, has the potential to achieve high electrical conversion efficiency. Their design also includes a double-helix spring that replaces the crankshaft flywheel in conventional engines and can store 5-10 times the work output of the engine cycle and operates at high frequency, which is key to high energy density, compact size, low weight, and low cost. The system will also incorporate low temperature, glow plug-assisted homogeneous charge compression ignition (HCCI) combustion, which reduces heat loss from the engine and further increases efficiency.
",2018-12-31,GENSETS,ALUMNI,?q=slick-sheet-project/single-cylinder-two-stroke-free-piston-internal-combustion-generator,2015-11-01,Massachusetts,Single-Cylinder Two-Stroke Free-Piston Internal Combustion Generator,Distributed Generation, ,2555590,0.0,For-profit,Perish,Persist,"Were looking to license/deploy in homes, doesnt seem like that's happening (no patent licensee)",Still publishing
1,Argonne National Laboratory,"ANL is developing a new hybrid fuel cell technology that could generate both electricity and liquid fuels from natural gas. Existing fuel cell technologies typically convert chemical energy from hydrogen into electricity during a chemical reaction with oxygen or some other agent. In addition to generating electricity from hydrogen, ANL's fuel cell would produce ethylene--a liquid fuel precursor--from natural gas. In this design, a methane-coupling catalyst is added to the anode side of a fuel cell that, when fed with natural gas, creates a chemical reaction that produces ethylene and utilizes leftover hydrogen, which is then passed through a proton-conducting membrane to generate electricity. Removing hydrogen from the reaction site leads to increased conversion of natural gas to ethylene.
",2017-03-31,REBELS,ALUMNI,?q=slick-sheet-project/electricity-and-liquid-fuels-natural-gas,2014-10-01,Illinois,Electricity and Liquid Fuels from Natural Gas,Distributed Generation,Storage,2000000,0.0,Non-profit,Perish,Persist,,Patent filed this year
2,Arizona State University (ASU),"Arizona State University (ASU) is developing a solar cell that can maintain efficient operation at temperatures above 400?C. Like many other electronics, solar panels work best in cooler environments. As the temperature of traditional solar cells increases beyond 100?C, the energy output decreases markedly and components are more prone to failure. ASU's technology adapts semiconducting materials used in today's light-emitting diode (LED) industry to enable efficient, long-term high-temperature operation. These materials could allow the cells to maintain operation at much higher temperatures than today's solar cells, so they can be integrated as the sunlight-absorbing surface of a thermal receiver in the next generation of hybrid solar collectors. The solar cell would provide electricity using a portion of the incoming sunlight, while the receiver collects usable heat at high temperature that can be stored and dispatched to generate electricity as needed.

",2017-08-29,FOCUS,ALUMNI,?q=slick-sheet-project/high-temperature-topping-cells-led-materials,2014-05-30,Arizona,High-Temperature Topping Cells from LED Materials,Distributed Generation, ,3899998,0.0,Non-profit,Perish,Pivot,"Some similar research, parnter companies moved on",Nothing since then... companies seem to be doing other things
3,Brown University,"Brown University is developing a power conversion device to maximize power production and reduce costs to capture energy from flowing water in rivers and tidal basins. Conventional methods to harness energy from these water resources face a number of challenges, including the costs associated with developing customized turbine technology to a specific site. Additionally, sites with sufficient energy exist near coastal habitats which depend on the natural water flow to transport nutrients. Brown University's tidal power conversion devices can continuously customize themselves by using an onboard computer and control software to respond to real-time measurements, which will increase tidal power conversion efficiency. Brown University's technology will allow for inexpensive installation and software upgrades and optimized layout of tidal power generators to maximize power generation and mitigate environmental impacts.

",2017-05-31,OPEN 2012,ALUMNI,?q=slick-sheet-project/customized-tidal-power-conversion-devices,2013-03-20,Rhode Islan,Customized Tidal Power Conversion Devices,Distributed Generation, ,3465143,1.0,Non-profit,Perish,Persist,"They didn't seem to hit their cost target, no ongoing work",
4,California Institute of Technology (Caltech),"Caltech, in coordination with Los Alamos National Laboratory (LANL), will investigate the scaling of adiabatic heating of plasma by propelling magnetized plasma jets into stationary heavy gases and/or metal walls. This is the reverse of the process that would occur in an actual fusion reactor - where a gas or metal liner would compress the plasma - but will provide experimental data to assess the magneto-inertial fusion approach. By using this alternative frame of reference, the researchers will be able to conduct experiments more frequently and at a lower cost because the experimental setup is non-destructive. The team will investigate the jet-target collision using many experiments with a wide range of parameters to determine the actual equation of state relating compression, change in magnetic field, and temperature increase. The experimental work will be supplemented with advanced 3D computer models. If successful, these results will show that compressional heating by a liner is a viable method for increasing temperatures to the levels required for magneto-inertial fusion. The study will also provide critical information on the interactions and limitations for a variety of possible driver and plasma target combinations being developed across the ALPHA program portfolio.

",2018-12-31,ALPHA,ALUMNI,?q=slick-sheet-project/heating-and-compression-mechanisms-fusion,2015-10-01,California,Heating and Compression Mechanisms for Fusion,Centralized Generation, ,950000,0.0,Non-profit,Perish,Persist,"it worked, but doesn't provide enough info for MIF experiments",Still publishing
5,California Institute of Technology (Caltech),"The California Institute of Technology (Caltech) is developing a solar module that splits sunlight into individual color bands to improve the efficiency of solar electricity generation. For PV to maintain momentum in the marketplace, the energy conversion efficiency must increase significantly to result in reduced power generation costs. Most conventional PV modules provide 15-20% energy conversion efficiency because their materials respond efficiently to only a narrow band of color in the sun's spectrum, which represents a significant constraint on their efficiency. To increase the light conversion efficiency, Caltech will assemble a solar module that includes several cells containing several different absorbing materials, each tuned to a different color range of the sun's spectrum. Once light is separated into color bands, Caltech's tailored solar cells will match each separated color band to dramatically improve the overall efficiency of solar energy conversion. Caltech's approach to improve the efficiency of PV solar generation should enable improved cost-competitiveness for PV energy.
",2016-09-27,OPEN 2012,ALUMNI,?q=slick-sheet-project/improving-solar-generation-efficiency-solar-modules,2013-03-28,California,Improving Solar Generation Efficiency with Solar Modules,Distributed Generation, ,2398749,1.0,Non-profit,Pivot,Persist,"$1/W, 50% efficiency",
6,Carnegie Mellon University (CMU),"Carnegie Mellon University (CMU) is developing a new nanoscale magnetic material that will reduce the size, weight, and cost of utility-scale PV solar power conversion systems that connect directly to the grid. Power converters are required to turn the energy that solar power systems create into useable energy for the grid. The power conversion systems made with CMU's nanoscale magnetic material have the potential to be 150 times lighter and significantly smaller than conventional power conversion systems that produce similar amounts of power.
",2015-03-28,Solar ADEPT,ALUMNI,?q=slick-sheet-project/magnet-technology-power-converters,2012-02-27,Pennsylvania,Magnet Technology for Power Converters,Distributed Generation, ,1781900,0.0,Non-profit,Pivot,Persist,"looking at EV, wind turbine applications","DYNAPOWER seems to be selling product, PI still actively researching"
7,City University of New York (CUNY) Energy Institute,"City University of New York (CUNY) Energy Institute is developing less expensive, more efficient, smaller, and longer-lasting power converters for energy-efficient LED lights. LEDs produce light more efficiently than incandescent lights and last significantly longer than compact fluorescent bulbs, but they require more sophisticated power converter technology, which increases their cost. LEDs need more sophisticated converters because they require a different type of power (low-voltage direct current, or DC) than what's generally supplied by power outlets. CUNY Energy Institute is developing sophisticated power converters for LEDs that contain capacitors made from new, nanoscale materials. Capacitors are electrical components that are used to store energy. CUNY Energy Institute's unique capacitors are configured with advanced power circuits to more efficiently control and convert power to the LED lighting source. They also eliminate the need for large magnetic components, instead relying on networks of capacitors that can be easily printed on plastic substrate. CUNY Energy Institute's prototype LED power converter already meets DOE's 2020 projections for the energy efficiency of LED power converters.
",2014-02-28,ADEPT,ALUMNI,?q=slick-sheet-project/metacapacitors-led-lighting,2010-09-02,New York,Metacapacitors for LED Lighting,Electrical Efficiency, ,1568278,0.0,Non-profit,Perish,Pivot,"Website doesn't work, none? of the authors workign on it",Different types of capacitors
8,Columbia University,"Columbia University will develop a new platform for generating multiple simultaneous optical channels (wavelengths) with low power dissipation, thereby enabling optical interconnects for low power computing. Optical interconnect links communicate using optical fibers that carry light. Wavelength-division multiplexing (WDM) is a technology that combines a number of optical carrier signals on a single optical fiber by using different wavelengths. This technique enables bidirectional communications over strands of fiber, dramatically increasing capacity. Low-power lasers generate the wavelengths used in a WDM system, but it is important to stabilize the wavelength for each channel to allow for precise separation and filtering. The importance of stabilization increases when the number and density of wavelength channels increases. Energy use also increases because each of the laser sources must be individually stabilized. In contrast, the Columbia team proposes using a single high-powered stabilized laser to generate greater than 50 wavelength sources with high efficiency using an on-chip comb. This approach can improve laser energy efficiency from 0.01% to 10%.

",2017-03-03,IDEAS,ALUMNI,?q=slick-sheet-project/computing-through-silicon-photonics,2016-03-04,New York,Computing Through Silicon Photonics,Electrical Efficiency, ,500000,1.0,Non-profit,Pivot,Persist,"Didn't hit efficiency target, still research project",
9,Columbia University,"The Columbia University team is developing a proof-of-concept solid-state solution to generate electricity from high-temperature waste heat (~900 K) using thermal radiation between a hot object placed in extreme proximity (&lt;100 nm) to a cooler photovoltaic (PV) cell. In this geometry, thermal radiation can be engineered such that its spectrum is quasi-monochromatic and aligned with the PV cell's bandgap frequency. In this case, it is estimated that electricity can be generated with a conversion efficiency beyond 25% and with a power density that could greatly outperform currently available thermal photovoltaic devices and other thermoelectric generator designs. To overcome the significant challenge of maintaining the proper distance between a hot side emitter and a cooler PV junction to prevent device shorting, the team will develop microelectromechanical actuation systems to optimally orient the PV cell. By providing a universal solid-state solution that can, in principle, be mounted and scaled to any hot surface, this technology could help retrieve a significant fraction of heat wasted by U.S. industries
",2017-09-09,IDEAS,ALUMNI,?q=slick-sheet-project/integrated-power-adapter-0,2016-06-10,New York,Integrated Power Adapter,Distributed Generation, ,500000,1.0,Non-profit,Perish,Persist,"Published some stuff, no further research/patents",Still active research
